编号,开始时间,结束时间,活动类型,教学结构,核心任务或目标,证据说明,备注
AV1,00:00:14,00:03:00,导入,H+L,引入新课,屏幕中出现问题，老师提问引入问题，学生举手回答,
AR1,00:00:14,00:03:00,导入,H+L,引入新课,老师说开始上课,
AP1,00:00:14,00:03:00,导入,H+L,引入新课,环节1，引入新课：1、谈话:什么叫做解比例?比例的基本性质是什么? 2、应用比例的基本性质可以解决什么问题? 3、根据比例的基本性质把下面的比例改写成积相等的式子。 4:3=2:1.5 x:4=1:2,
AT1,00:00:14,00:03:00,导入,H+L,引入新课,学习任务单任务,
AV2,00:03:00,00:18:30,新知学习,H+L,"新课：1、教学例5
(1)欣赏照片。
从题目中,你了解到放大前和放大后这两张风景照片的哪些信息?
(2)分析信息。
提问:“按比例放大”是什么意思?
(3)发现问题。
学生自由发言,引出问题:放大后照片的宽是多少厘米?
2、合作探究。
(1)自主探究。
提问:你能用什么方法知道“放大后照片的宽是多少”呢?
(2)交流。
预设:a、量一量 b算一算 c、列比例解答
(3)选取其中一个比例式解答
(4)谁能说一说用这种方法解决问题的步骤吗?
(5)谈话:像上面这样求比例中的未知项,叫做解比例。(板书课题)",屏幕中出现问题，老师提问引入问题，学生举手回答,
AR2,00:03:00,00:18:30,新知学习,H+L,"新课：1、教学例5
(1)欣赏照片。
从题目中,你了解到放大前和放大后这两张风景照片的哪些信息?
(2)分析信息。
提问:“按比例放大”是什么意思?
(3)发现问题。
学生自由发言,引出问题:放大后照片的宽是多少厘米?
2、合作探究。
(1)自主探究。
提问:你能用什么方法知道“放大后照片的宽是多少”呢?
(2)交流。
预设:a、量一量 b算一算 c、列比例解答
(3)选取其中一个比例式解答
(4)谁能说一说用这种方法解决问题的步骤吗?
(5)谈话:像上面这样求比例中的未知项,叫做解比例。(板书课题)",老师开始提问，学生回答问题,
AP2,00:03:00,00:18:30,新知学习,H+L,"新课：1、教学例5
(1)欣赏照片。
从题目中,你了解到放大前和放大后这两张风景照片的哪些信息?
(2)分析信息。
提问:“按比例放大”是什么意思?
(3)发现问题。
学生自由发言,引出问题:放大后照片的宽是多少厘米?
2、合作探究。
(1)自主探究。
提问:你能用什么方法知道“放大后照片的宽是多少”呢?
(2)交流。
预设:a、量一量 b算一算 c、列比例解答
(3)选取其中一个比例式解答
(4)谁能说一说用这种方法解决问题的步骤吗?
(5)谈话:像上面这样求比例中的未知项,叫做解比例。(板书课题)","环节2，讲授】新课：1、教学例5 (1)欣赏照片。 从题目中,你了解到放大前和放大后这两张风景照片的哪些信息? (2)分析信息。 提问:“按比例放大”是什么意思? (3)发现问题。 学生自由发言,引出问题:放大后照片的宽是多少厘米? 2、合作探究。 (1)自主探究。 提问:你能用什么方法知道“放大后照片的宽是多少”呢? (2)交流。 预设:a、量一量 b算一算 c、列比例解答 (3)选取其中一个比例式解答 (4)谁能说一说用这种方法解决问题的步骤吗? (5)谈话:像上面这样求比例中的未知项,叫做解比例。(板书课题) (6)小结。",
AT2,00:03:00,00:18:30,新知学习,H+L,"新课：1、教学例5
(1)欣赏照片。
从题目中,你了解到放大前和放大后这两张风景照片的哪些信息?
(2)分析信息。
提问:“按比例放大”是什么意思?
(3)发现问题。
学生自由发言,引出问题:放大后照片的宽是多少厘米?
2、合作探究。
(1)自主探究。
提问:你能用什么方法知道“放大后照片的宽是多少”呢?
(2)交流。
预设:a、量一量 b算一算 c、列比例解答
(3)选取其中一个比例式解答
(4)谁能说一说用这种方法解决问题的步骤吗?
(5)谈话:像上面这样求比例中的未知项,叫做解比例。(板书课题)",学习任务单任务,
AV3,00:18:30,00:33:26,评价,L+H,"【练习】综合练习
1、完成“试一试”
(1)学生独立完成
(2)说一说解题的思考过程以及注意点。
2、完成“练一练”
3、练习七:7、8",屏幕中出现练习题，老师布置练习，学生做练习，老师再讲解,
AR3,00:18:30,00:33:26,评价,L+H,"【练习】综合练习
1、完成“试一试”
(1)学生独立完成
(2)说一说解题的思考过程以及注意点。
2、完成“练一练”
3、练习七:7、8",老师布置练习，学生做练习，老师再讲解,
AP3,00:18:30,00:33:26,评价,L+H,"【练习】综合练习
1、完成“试一试”
(1)学生独立完成
(2)说一说解题的思考过程以及注意点。
2、完成“练一练”
3、练习七:7、8",【练习】综合练习 1、完成“试一试” (1)学生独立完成 (2)说一说解题的思考过程以及注意点。 2、完成“练一练” 3、练习七:7、8,
AT3,00:18:30,00:33:26,评价,L+H,"【练习】综合练习
1、完成“试一试”
(1)学生独立完成
(2)说一说解题的思考过程以及注意点。
2、完成“练一练”
3、练习七:7、8",学习任务单任务,
AV4,00:33:26,00:35:31,总结迁移,L+H,"【作业】作业练习七:5、6
总结本节课的方法，布置思考题",老师总结，老师询问学生的收获，学生举手回答,
AR4,00:33:26,00:35:31,总结迁移,L+H,"【作业】作业练习七:5、6
总结本节课的方法，布置思考题",老师总结，老师询问学生的收获,
AP4,00:33:26,00:35:31,总结迁移,L+H,"【作业】作业练习七:5、6
总结本节课的方法，布置思考题",【作业】作业练习七:5、6,
AT4,00:33:26,00:35:31,总结迁移,L+H,"【作业】作业练习七:5、6
总结本节课的方法，布置思考题",学习任务单任务,
